ಮತ್ತು/33	10074076
ಈ	9006502
ಎಂದು	8422157
ಹಾಗೂ	4184864
ಅವರು	3874677
ಒಂದು	3124703
ಆದರೆ	2836723
ಅವರ	2404297
ಬಗ್ಗೆ	2291938
ಇದು/1001,1008	2176077
ಮೇಲೆ/93	1926047
ಮೂಲಕ/13	1894835
ಅಥವಾ	1715836
ತಮ್ಮ/11	1585477
ನಂತರ/13	1539254
ಎಂಬ	1533785
ನಿಮ್ಮ	1495173
ನೀವು	1447989
ಆ	1398850
ಹೆಚ್ಚು/53	1328626
ನಮ್ಮ	1208776
ಮಾಡಿ	1164300
ಯಾವುದೇ	1155365
ರ	1064175
ಎಂದರು	1048741
ಬೆಂಗಳೂರು/53	1044442
ತನ್ನ	1029071
ಅಧ್ಯಕ್ಷ/11	1006100
ಬಿಜೆಪಿ	1001279
ಇದೆ	1000730
ನಾನು	997629
ಎರಡು/53	989990
ರೂ	987687
ವಿರುದ್ಧ/13	962463
ಹೊಸ	960721
ರಾಜ್ಯ/13	956878
ಈಗ	951594
ರಂದು	948719
ಕೂಡ	946601
ನಾವು	946598
ಮಾತ್ರ/13	943070
ಸರ್ಕಾರ/13	938916
ರಲ್ಲಿ	931872
ಹೇಳಿದರು	931140
ಕೇಂದ್ರ/13	915382
ಕೆಲಸ/13	906952
ಕೆಲವು/53	888371
ಜಿಲ್ಲಾ	887545
ನೇ	871756
ಮಾಡಲು	861163
ಎಲ್ಲಾ	858320
ಸಚಿವ/11	841371
ಅವರಿಗೆ	838695
ನನ್ನ	835587
ಮಾಹಿತಿ/33	822477
ಅನ್ನು	816859
ಅದು/1001,1008,55	811770
ಸೇರಿದಂತೆ	786561
ಕಳೆದ	776373
ಅವರನ್ನು	774506
ನೀರು/53	769005
ಮೊದಲ	766873
ಹೆಚ್ಚಿನ	765519
ಬಳಿಕ	762973
ಇಲ್ಲ	761927
ನಲ್ಲಿ	759634
ಕೋಟಿ/33	757412
ಕಾಂಗ್ರೆಸ್	745054
ಕುರಿತು	742768
ರಿಂದ	739885
ಉತ್ತಮ/13	737322
ವಿವಿಧ/13	723224
ಕನ್ನಡ/13	719456
ಎಲ್ಲ	716624
ವೇಳೆ/93	715265
ಇಂದು/51,53	715139
ಸಹ	708892
ಮಾಡುವ	691762
ಮಾಜಿ	679947
ಅದನ್ನು	672799
ಲಕ್ಷ/13	664811
ಮೂರು/53	653701
ನಡೆದ	650639
ಸಂದರ್ಭದಲ್ಲಿ	648924
ಕಾರಣ/13	647073
ಹಲವು/53	638931
ತಿಳಿಸಿದರು	633244
ಹಿಂದೆ/93	631486
ಕಡಿಮೆ	631265
ವರ್ಷ/13	628817
ಪ್ರತಿ/33	627574
ಸುಮಾರು/53	623608
ಇದೇ	622220
ಇಲಾಖೆ/93	616406
ಬಾರಿ/33	611558
ಪೊಲೀಸರು	606224
ಅದರ	602713
ಕರ್ನಾಟಕ/13	595836
ದಿನ/13	595068
ಮುಂದಿನ	594261
ಜನರು/14	592793
ಹೇಳಿದ್ದಾರೆ	583915
ಆರೋಗ್ಯ/13	581037
ಭಾರತ/13	575202
ಇಲ್ಲಿ	575100
ಮುಖ್ಯ/13	574297
ಮತ್ತೆ	569132
ಇದನ್ನು	561930
ಆರ್	560925
ತಿಳಿಸಿದ್ದಾರೆ	559943
ನಗರದ	554730
ಅಧಿಕಾರಿಗಳು	548168
ನ	541199
ಮುಂದೆ/93	534466
ಭೇಟಿ/33	532044
ನೀಡಿ	528007
ವಿಶೇಷ/13	523940
ಮುಖ್ಯಮಂತ್ರಿ/31	522758
ಇನ್ನೂ	516547
ಇನ್ನು	514190
